break_angle,min_break_mass,merge_angle,debounce_ms,jaccard_threshold,break_method,angle_map,tp,fp,fn,total_errors,precision,recall,f1,n_bounds,n_markers
65,0.75,25,50,0.5,hybrid,dissonance,102,53,14,67,65.8,87.9,75.28,155,116
65,0.75,25,50,0.5,hybrid_split,dissonance,102,53,14,67,65.8,87.9,75.28,155,116
65,0.75,15,100,0.5,hybrid,dissonance,78,30,38,68,72.2,67.2,69.64,108,116
35,0.75,10,100,0.375,hybrid,dissonance,82,34,34,68,70.7,70.7,70.69,116,116
35,0.75,5,100,0.375,hybrid,dissonance,83,35,33,68,70.3,71.6,70.94,118,116
45,0.75,15,100,0.5,hybrid,dissonance,83,35,33,68,70.3,71.6,70.94,118,116
35,0.75,30,100,0.5,hybrid,dissonance,90,42,26,68,68.2,77.6,72.58,132,116
45,0.75,5,100,0.625,hybrid,dissonance,92,44,24,68,67.6,79.3,73.02,136,116
55,0.75,5,100,0.625,hybrid,dissonance,92,44,24,68,67.6,79.3,73.02,136,116
65,0.75,5,100,0.625,hybrid,dissonance,93,45,23,68,67.4,80.2,73.23,138,116
35,0.75,30,100,0.625,hybrid,dissonance,94,46,22,68,67.1,81.0,73.44,140,116
25,0.75,20,100,0.75,hybrid,dissonance,95,47,21,68,66.9,81.9,73.64,142,116
25,0.75,25,100,0.75,hybrid,dissonance,95,47,21,68,66.9,81.9,73.64,142,116
15,0.75,5,100,0.625,hybrid,dissonance,96,48,20,68,66.7,82.8,73.85,144,116
15,0.75,10,100,0.625,hybrid,dissonance,96,48,20,68,66.7,82.8,73.85,144,116
15,0.75,15,100,0.625,hybrid,dissonance,96,48,20,68,66.7,82.8,73.85,144,116
15,0.75,30,100,0.625,hybrid,dissonance,96,48,20,68,66.7,82.8,73.85,144,116
15,0.75,30,100,0.75,hybrid,dissonance,96,48,20,68,66.7,82.8,73.85,144,116
65,0.75,15,100,0.75,hybrid,dissonance,96,48,20,68,66.7,82.8,73.85,144,116
65,0.75,30,10,0.5,hybrid,dissonance,99,51,17,68,66.0,85.3,74.44,150,116
65,0.75,30,10,0.5,hybrid_split,dissonance,99,51,17,68,66.0,85.3,74.44,150,116
65,0.75,30,25,0.5,hybrid,dissonance,99,51,17,68,66.0,85.3,74.44,150,116
65,0.75,30,25,0.5,hybrid_split,dissonance,99,51,17,68,66.0,85.3,74.44,150,116
65,0.75,30,50,0.5,hybrid,dissonance,99,51,17,68,66.0,85.3,74.44,150,116
65,0.75,30,50,0.5,hybrid_split,dissonance,99,51,17,68,66.0,85.3,74.44,150,116
55,0.75,30,10,0.5,hybrid,dissonance,100,52,16,68,65.8,86.2,74.63,152,116
55,0.75,30,10,0.5,hybrid_split,dissonance,100,52,16,68,65.8,86.2,74.63,152,116
55,0.75,30,25,0.5,hybrid,dissonance,100,52,16,68,65.8,86.2,74.63,152,116
55,0.75,30,25,0.5,hybrid_split,dissonance,100,52,16,68,65.8,86.2,74.63,152,116
55,0.75,30,50,0.5,hybrid,dissonance,100,52,16,68,65.8,86.2,74.63,152,116
55,0.75,30,50,0.5,hybrid_split,dissonance,100,52,16,68,65.8,86.2,74.63,152,116
55,0.75,25,10,0.5,hybrid,dissonance,102,54,14,68,65.4,87.9,75.0,156,116
55,0.75,25,10,0.5,hybrid_split,dissonance,102,54,14,68,65.4,87.9,75.0,156,116
55,0.75,25,25,0.5,hybrid,dissonance,102,54,14,68,65.4,87.9,75.0,156,116
55,0.75,25,25,0.5,hybrid_split,dissonance,102,54,14,68,65.4,87.9,75.0,156,116
55,0.75,25,50,0.5,hybrid,dissonance,102,54,14,68,65.4,87.9,75.0,156,116
55,0.75,25,50,0.5,hybrid_split,dissonance,102,54,14,68,65.4,87.9,75.0,156,116
35,0.75,20,150,0.375,hybrid,dissonance,62,15,54,69,80.5,53.4,64.25,77,116
35,1.0,20,100,0.375,hybrid,dissonance,72,25,44,69,74.2,62.1,67.61,97,116
45,0.75,30,100,0.25,hybrid,dissonance,72,25,44,69,74.2,62.1,67.61,97,116
55,0.75,30,75,0.25,hybrid,dissonance,73,26,43,69,73.7,62.9,67.91,99,116
55,0.75,15,75,0.25,hybrid,dissonance,75,28,41,69,72.8,64.7,68.49,103,116
25,0.75,15,100,0.125,hybrid,dissonance,78,31,38,69,71.6,67.2,69.33,109,116
35,0.75,10,100,0.5,hybrid,dissonance,89,42,27,69,67.9,76.7,72.06,131,116
55,0.75,25,75,0.375,hybrid,dissonance,92,45,24,69,67.2,79.3,72.73,137,116
55,0.75,30,10,0.375,hybrid,dissonance,93,46,23,69,66.9,80.2,72.94,139,116
55,0.75,30,10,0.375,hybrid_split,dissonance,93,46,23,69,66.9,80.2,72.94,139,116
55,0.75,30,25,0.375,hybrid,dissonance,93,46,23,69,66.9,80.2,72.94,139,116
55,0.75,30,25,0.375,hybrid_split,dissonance,93,46,23,69,66.9,80.2,72.94,139,116
55,0.75,30,50,0.375,hybrid,dissonance,93,46,23,69,66.9,80.2,72.94,139,116
55,0.75,30,50,0.375,hybrid_split,dissonance,93,46,23,69,66.9,80.2,72.94,139,116
55,0.75,25,100,0.5,hybrid_split,dissonance,94,47,22,69,66.7,81.0,73.15,141,116
65,0.75,25,100,0.5,hybrid_split,dissonance,94,47,22,69,66.7,81.0,73.15,141,116
25,0.75,5,100,0.625,hybrid,dissonance,95,48,21,69,66.4,81.9,73.36,143,116
25,0.75,10,100,0.625,hybrid,dissonance,95,48,21,69,66.4,81.9,73.36,143,116
25,0.75,15,100,0.625,hybrid,dissonance,95,48,21,69,66.4,81.9,73.36,143,116
35,0.75,5,100,0.75,hybrid,dissonance,95,48,21,69,66.4,81.9,73.36,143,116
35,0.75,10,100,0.75,hybrid,dissonance,95,48,21,69,66.4,81.9,73.36,143,116
35,0.75,15,100,0.75,hybrid,dissonance,95,48,21,69,66.4,81.9,73.36,143,116
45,0.75,5,100,0.75,hybrid,dissonance,95,48,21,69,66.4,81.9,73.36,143,116
45,0.75,10,100,0.75,hybrid,dissonance,95,48,21,69,66.4,81.9,73.36,143,116
45,0.75,15,100,0.75,hybrid,dissonance,95,48,21,69,66.4,81.9,73.36,143,116
55,0.75,5,100,0.75,hybrid,dissonance,95,48,21,69,66.4,81.9,73.36,143,116
55,0.75,10,100,0.75,hybrid,dissonance,95,48,21,69,66.4,81.9,73.36,143,116
55,0.75,15,100,0.75,hybrid,dissonance,95,48,21,69,66.4,81.9,73.36,143,116
15,0.75,20,100,0.75,hybrid,dissonance,96,49,20,69,66.2,82.8,73.56,145,116
15,0.75,25,100,0.625,hybrid,dissonance,96,49,20,69,66.2,82.8,73.56,145,116
15,0.75,25,100,0.75,hybrid,dissonance,96,49,20,69,66.2,82.8,73.56,145,116
65,0.75,5,100,0.75,hybrid,dissonance,96,49,20,69,66.2,82.8,73.56,145,116
65,0.75,10,100,0.75,hybrid,dissonance,96,49,20,69,66.2,82.8,73.56,145,116
55,0.75,30,75,0.5,hybrid_split,dissonance,99,52,17,69,65.6,85.3,74.16,151,116
55,0.75,25,75,0.5,hybrid_split,dissonance,101,54,15,69,65.2,87.1,74.54,155,116
65,0.75,25,75,0.5,hybrid_split,dissonance,101,54,15,69,65.2,87.1,74.54,155,116
35,0.75,25,150,0.5,hybrid,dissonance,62,16,54,70,79.5,53.4,63.92,78,116
35,0.75,20,150,0.5,hybrid,dissonance,63,17,53,70,78.8,54.3,64.29,80,116
55,0.75,15,75,0.25,hybrid_split,dissonance,75,29,41,70,72.1,64.7,68.18,104,116
35,0.75,10,100,0.25,hybrid,dissonance,76,30,40,70,71.7,65.5,68.47,106,116
45,0.75,30,100,0.25,hybrid_split,dissonance,76,30,40,70,71.7,65.5,68.47,106,116
55,0.75,15,100,0.5,hybrid,dissonance,78,32,38,70,70.9,67.2,69.03,110,116
25,0.75,5,100,0.25,hybrid_split,dissonance,86,40,30,70,68.3,74.1,71.07,126,116
55,0.75,20,100,0.375,hybrid_split,dissonance,88,42,28,70,67.7,75.9,71.54,130,116
65,0.75,20,100,0.375,hybrid_split,dissonance,88,42,28,70,67.7,75.9,71.54,130,116
25,0.75,10,100,0.25,hybrid_split,dissonance,89,43,27,70,67.4,76.7,71.77,132,116
55,0.75,30,75,0.375,hybrid_split,dissonance,92,46,24,70,66.7,79.3,72.44,138,116
35,0.75,25,100,0.625,hybrid,dissonance,94,48,22,70,66.2,81.0,72.87,142,116
55,0.75,30,100,0.5,hybrid_split,dissonance,94,48,22,70,66.2,81.0,72.87,142,116
65,0.75,30,100,0.5,hybrid_split,dissonance,94,48,22,70,66.2,81.0,72.87,142,116
15,0.75,5,100,0.75,hybrid,dissonance,96,50,20,70,65.8,82.8,73.28,146,116
15,0.75,10,100,0.75,hybrid,dissonance,96,50,20,70,65.8,82.8,73.28,146,116
15,0.75,15,100,0.75,hybrid,dissonance,96,50,20,70,65.8,82.8,73.28,146,116
35,0.75,20,100,0.375,hybrid_split,dissonance,96,50,20,70,65.8,82.8,73.28,146,116
45,0.75,20,100,0.5,hybrid_split,dissonance,97,51,19,70,65.5,83.6,73.48,148,116
65,0.75,30,75,0.5,hybrid_split,dissonance,98,52,18,70,65.3,84.5,73.68,150,116
65,0.75,20,10,0.5,hybrid,dissonance,102,56,14,70,64.6,87.9,74.45,158,116
65,0.75,20,10,0.5,hybrid_split,dissonance,102,56,14,70,64.6,87.9,74.45,158,116
65,0.75,20,25,0.5,hybrid,dissonance,102,56,14,70,64.6,87.9,74.45,158,116
65,0.75,20,25,0.5,hybrid_split,dissonance,102,56,14,70,64.6,87.9,74.45,158,116
65,0.75,20,50,0.5,hybrid,dissonance,102,56,14,70,64.6,87.9,74.45,158,116
65,0.75,20,50,0.5,hybrid_split,dissonance,102,56,14,70,64.6,87.9,74.45,158,116
35,0.75,25,150,0.375,hybrid,dissonance,59,14,57,71,80.8,50.9,62.43,73,116
45,0.75,25,150,0.5,hybrid,dissonance,59,14,57,71,80.8,50.9,62.43,73,116
45,0.75,30,150,0.5,hybrid,dissonance,61,16,55,71,79.2,52.6,63.21,77,116
25,0.75,20,150,0.375,hybrid,dissonance,62,17,54,71,78.5,53.4,63.59,79,116
15,0.75,20,150,0.5,hybrid,dissonance,64,19,52,71,77.1,55.2,64.32,83,116
15,0.75,25,150,0.5,hybrid,dissonance,64,19,52,71,77.1,55.2,64.32,83,116
15,0.75,30,150,0.5,hybrid,dissonance,64,19,52,71,77.1,55.2,64.32,83,116
35,0.75,25,100,0.25,hybrid_split,dissonance,84,39,32,71,68.3,72.4,70.29,123,116
25,0.75,10,100,0.125,hybrid_split,dissonance,85,40,31,71,68.0,73.3,70.54,125,116
25,0.75,15,100,0.25,hybrid_split,dissonance,88,43,28,71,67.2,75.9,71.26,131,116
35,0.75,5,100,0.5,hybrid,dissonance,88,43,28,71,67.2,75.9,71.26,131,116
55,0.75,20,75,0.375,hybrid,dissonance,92,47,24,71,66.2,79.3,72.16,139,116
55,0.75,20,100,0.5,hybrid_split,dissonance,94,49,22,71,65.7,81.0,72.59,143,116
65,0.75,20,100,0.5,hybrid_split,dissonance,94,49,22,71,65.7,81.0,72.59,143,116
25,0.75,5,100,0.75,hybrid,dissonance,95,50,21,71,65.5,81.9,72.8,145,116
25,0.75,10,100,0.75,hybrid,dissonance,95,50,21,71,65.5,81.9,72.8,145,116
25,0.75,15,100,0.75,hybrid,dissonance,95,50,21,71,65.5,81.9,72.8,145,116
55,0.75,25,10,0.375,hybrid,dissonance,95,50,21,71,65.5,81.9,72.8,145,116
55,0.75,25,10,0.375,hybrid_split,dissonance,95,50,21,71,65.5,81.9,72.8,145,116
55,0.75,25,25,0.375,hybrid,dissonance,95,50,21,71,65.5,81.9,72.8,145,116
55,0.75,25,25,0.375,hybrid_split,dissonance,95,50,21,71,65.5,81.9,72.8,145,116
55,0.75,25,50,0.375,hybrid,dissonance,95,50,21,71,65.5,81.9,72.8,145,116
55,0.75,25,50,0.375,hybrid_split,dissonance,95,50,21,71,65.5,81.9,72.8,145,116
45,0.75,25,100,0.5,hybrid_split,dissonance,96,51,20,71,65.3,82.8,73.0,147,116
65,0.75,15,75,0.5,hybrid,dissonance,98,53,18,71,64.9,84.5,73.41,151,116
55,0.75,20,10,0.5,hybrid,dissonance,102,57,14,71,64.2,87.9,74.18,159,116
55,0.75,20,10,0.5,hybrid_split,dissonance,102,57,14,71,64.2,87.9,74.18,159,116
55,0.75,20,25,0.5,hybrid,dissonance,102,57,14,71,64.2,87.9,74.18,159,116
55,0.75,20,25,0.5,hybrid_split,dissonance,102,57,14,71,64.2,87.9,74.18,159,116
55,0.75,20,50,0.5,hybrid,dissonance,102,57,14,71,64.2,87.9,74.18,159,116
55,0.75,20,50,0.5,hybrid_split,dissonance,102,57,14,71,64.2,87.9,74.18,159,116
25,0.75,20,75,0.25,hybrid,dissonance,104,59,12,71,63.8,89.7,74.55,163,116
25,0.75,20,150,0.25,hybrid,dissonance,60,16,56,72,78.9,51.7,62.5,76,116
45,0.75,20,150,0.5,hybrid,dissonance,60,16,56,72,78.9,51.7,62.5,76,116
35,0.75,5,100,0.125,hybrid,dissonance,61,17,55,72,78.2,52.6,62.89,78,116
55,0.75,20,100,0.25,hybrid,dissonance,65,21,51,72,75.6,56.0,64.36,86,116
35,0.75,15,100,0.125,hybrid,dissonance,71,27,45,72,72.4,61.2,66.36,98,116
35,0.75,20,100,0.125,hybrid,dissonance,73,29,43,72,71.6,62.9,66.97,102,116
45,0.75,25,100,0.25,hybrid_split,dissonance,74,30,42,72,71.2,63.8,67.27,104,116
55,0.75,30,75,0.25,hybrid_split,dissonance,74,30,42,72,71.2,63.8,67.27,104,116
55,0.75,20,75,0.25,hybrid,dissonance,75,31,41,72,70.8,64.7,67.57,106,116
65,0.75,10,100,0.5,hybrid,dissonance,81,37,35,72,68.6,69.8,69.23,118,116
35,0.75,30,100,0.25,hybrid_split,dissonance,82,38,34,72,68.3,70.7,69.49,120,116
25,0.75,5,75,0.125,hybrid,dissonance,85,41,31,72,67.5,73.3,70.25,126,116
55,0.75,25,100,0.375,hybrid_split,dissonance,87,43,29,72,66.9,75.0,70.73,130,116
25,0.75,5,10,0.125,hybrid,dissonance,89,45,27,72,66.4,76.7,71.2,134,116
25,0.75,5,10,0.125,hybrid_split,dissonance,89,45,27,72,66.4,76.7,71.2,134,116
25,0.75,5,25,0.125,hybrid,dissonance,89,45,27,72,66.4,76.7,71.2,134,116
25,0.75,5,25,0.125,hybrid_split,dissonance,89,45,27,72,66.4,76.7,71.2,134,116
25,0.75,5,50,0.125,hybrid,dissonance,89,45,27,72,66.4,76.7,71.2,134,116
25,0.75,5,50,0.125,hybrid_split,dissonance,89,45,27,72,66.4,76.7,71.2,134,116
45,0.75,25,100,0.375,hybrid_split,dissonance,92,48,24,72,65.7,79.3,71.88,140,116
45,0.75,30,100,0.375,hybrid_split,dissonance,92,48,24,72,65.7,79.3,71.88,140,116
55,0.75,20,75,0.375,hybrid_split,dissonance,92,48,24,72,65.7,79.3,71.88,140,116
55,0.75,25,75,0.375,hybrid_split,dissonance,94,50,22,72,65.3,81.0,72.31,144,116
45,0.75,30,100,0.5,hybrid_split,dissonance,96,52,20,72,64.9,82.8,72.73,148,116
25,0.75,20,100,0.375,hybrid_split,dissonance,97,53,19,72,64.7,83.6,72.93,150,116
55,0.75,15,75,0.5,hybrid,dissonance,98,54,18,72,64.5,84.5,73.13,152,116
35,0.75,20,100,0.5,hybrid_split,dissonance,99,55,17,72,64.3,85.3,73.33,154,116
25,0.75,20,75,0.125,hybrid,dissonance,100,56,16,72,64.1,86.2,73.53,156,116
25,0.75,30,75,0.25,hybrid,dissonance,100,56,16,72,64.1,86.2,73.53,156,116
25,0.75,20,100,0.5,hybrid_split,dissonance,101,57,15,72,63.9,87.1,73.72,158,116
25,0.75,25,75,0.25,hybrid,dissonance,101,57,15,72,63.9,87.1,73.72,158,116
25,0.75,25,100,0.5,hybrid_split,dissonance,101,57,15,72,63.9,87.1,73.72,158,116
25,0.75,30,100,0.5,hybrid_split,dissonance,101,57,15,72,63.9,87.1,73.72,158,116
55,0.75,20,75,0.5,hybrid_split,dissonance,101,57,15,72,63.9,87.1,73.72,158,116
65,0.75,20,75,0.5,hybrid_split,dissonance,101,57,15,72,63.9,87.1,73.72,158,116
45,0.75,20,150,0.375,hybrid,dissonance,58,15,58,73,79.5,50.0,61.38,73,116
25,0.75,20,150,0.5,hybrid,dissonance,62,19,54,73,76.5,53.4,62.94,81,116
45,1.0,20,100,0.375,hybrid,dissonance,67,24,49,73,73.6,57.8,64.73,91,116
